,timestamp,Auxiliary Boilers A/B Feed Water Header Pressure 2,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Heat Recovery System Header Pressure.1,Lube Oil Cooler Outlet Temperature,Lube Oil Tank Temperature,Motor Current Phase A,Motor Current Phase B,Motor Current Phase C,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 1 Bearing Temperature,Pump Journal 2 Bearing Temperature,Pump Radial Bearing Vibration,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Pressure 2,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1,Pump Thrust Bearing Temperature 2
0,2018-01-01 00:00:15,1305.491089,1305.893799,301258.6563,304479.0625,1779.4385989999994,1782.647461,71.22301483,76.96530914,145.3084869,145.3084869,144.0,,,4234.068848,1792.0412600000002,857.3147582999999,137.1356506,144.30010990000005,9.661202431,3589.281494,24.95100975,16.886732100000003,0.272719741,226.7438812,98.05078888,86.57155609
1,2018-01-01 00:00:30,1301.227783,1299.925171,303027.75,303782.2813,1779.364014,1782.624756,71.21570587,76.94877625,145.0,146.0,144.0,,,4235.0,1791.922119,860.6124877999997,137.13348390000002,144.299057,9.655984879,3589.281982,25.0421772,16.88614655,0.27298674,226.7431183,98.05475616,86.5650177
2,2018-01-01 00:00:45,1296.178589,1294.646606,301878.9688,303518.4375,1779.289551,1782.602173,71.20838928,76.93224335,146.306839,146.613678,144.613678,,,4236.45459,1791.8028559999998,858.2034912,137.1313171,144.29800419999995,9.65076828,3589.282715,25.01257133,16.88556099,0.273253769,226.7423706,98.05871582,86.55848694
3,2018-01-01 00:01:00,1297.628296,1299.98877,302023.0625,303576.375,1779.214966,1782.579468,71.20108032,76.91282654,146.0,146.301178,145.0,,,4232.772461,1791.683716,859.1221312999999,137.1291504,144.29693600000004,9.645550728,3589.283203,25.00959015,16.88497543,0.273520768,226.74162290000004,98.06268311,86.55195618
4,2018-01-01 00:01:15,1299.078003,1300.749023,301972.0625,303999.5313,1779.140381,1782.5568850000002,71.19376373,76.89295959,146.3053894,147.0,145.0,,,4240.088379,1791.564575,858.1525268999999,137.1269684,144.2958832,9.642215729,3589.283691,25.00661087,16.88439178,0.273787796,226.74086,98.06665039,86.54542542
5,2018-01-01 00:01:30,1300.527832,1299.165527,302555.0625,303541.25,1779.065796,1782.53418,71.18645477,76.87309265,146.0,146.0,144.7881622,,,4231.694824,1791.445313,858.6781006000001,137.12480159999998,144.2948303,9.66797924,3589.28418,25.00362968,16.88380623,0.274054796,226.7401123,98.07061005,86.53889465
6,2018-01-01 00:01:45,1299.512085,1297.582031,301841.0938,304495.125,1778.9913329999997,1782.511597,71.17913818,76.85321808,147.0,147.0,145.0,,,4237.762695,1791.3261719999994,859.8520507999997,137.1226349,144.2937622,9.693742752,3589.284668,25.10850143,16.88322067,0.274321824,226.7393494,98.07457733,86.53236389
7,2018-01-01 00:02:00,1297.239136,1295.998657,301979.875,303725.1875,1778.916748,1782.488892,71.17182922,76.83335114,145.3069305,145.6930695,144.0,,,4240.069336,1791.206909,858.8467406999997,137.1204529,144.2927094,9.719507217,3589.2851560000013,25.10483360000001,16.88263512,0.2745558919999999,226.7386017,98.07853699,86.5258255
8,2018-01-01 00:02:15,1294.966064,1294.415161,302568.0938,304275.5313,1778.8421629999998,1782.466187,71.16451263,76.81348419,146.0,146.0,145.0,,,4240.0,1791.0877690000002,863.2092285,137.1182861,144.2916412,9.745270729,3589.285889,25.10116386,16.88204956,0.274696141,226.7378387,98.08250427,86.51929474
9,2018-01-01 00:02:30,1286.775269,1292.358276,303325.5625,304403.8125,1778.7675780000006,1782.4436039999994,71.15720367,76.79360962,147.0,147.0,146.0,,,4235.593261999999,1790.968628,865.4263306,137.1161194,144.29058840000005,9.771034241,3589.2863770000013,24.97225952,16.881464,0.274836421,226.7370911,98.08647156,86.51276398
10,2018-01-01 00:02:45,1288.961304,1290.0588380000004,300948.1563,303178.3125,1778.6931149999998,1782.420898,71.14989471,76.77374268,147.0,147.0,145.6953125,,,4233.527832,1790.8493649999998,862.3370361,137.1139374,144.2895355,9.796797752,3589.286865,25.00664711,16.88087845,0.274976701,226.7363281,98.09043121,86.50623322
